
Round, Team1, Team2, Score
1/8, Atletico,  Arsenal, 0 : 1
1/8, Juventus,  Milan, 2 : 2
1/8, Liverpool,  Dynamo, 1 : 3
1/8, asd,  Shakhtar, 1 : 0
1/8, Manchester City,  Chelsea, 2 : 0
1/8, Ajax,  Manchester United, 3 : 0
1/8, Arsenal,  Milan, 1 : 2
1/8, asd,  Dynamo, 1 : 3

Round, Team1, Team2, Score
1/4, Atletico,  Arsenal, 3 : 3
1/4, Juventus,  Milan, 1 : 2
1/4, Liverpool,  Dynamo, 1 : 0
1/4, asd,  Shakhtar, 2 : 0

Round, Team1, Team2, Score
1/2, Milan,  Arsenal, 2 : 3
1/2, Liverpool,  asd, 1 : 2

Round, Team1, Team2, Score
Final, asd,  Arsenal, 2 : 3

